name;surname;id;class;faculty;department;advisor(id);rank
Fatma ozlem;Acar;10000;3;The Faculty of Arts and Sciences;Chemistry;20000;1
ozde;Acarkan;10001;1;The Faculty of Arts and Sciences;Chemistry;20000;2
Atahan;Adanir;10002;3;The Faculty of Arts and Sciences;Chemistry;20000;3
Haci Mehmet;Adiguzel;10003;4;The Faculty of Arts and Sciences;Chemistry;20000;4
Mukerrem Zeynep;Agca;10004;4;The Faculty of Arts and Sciences;Chemistry;20000;5
Bestami;Agiragac;10005;4;The Faculty of Arts and Sciences;Chemistry;20000;6
Aykanat;Agiroglu;10006;3;The Faculty of Arts and Sciences;Chemistry;20000;7
sennur;Agnar;10007;3;The Faculty of Arts and Sciences;Chemistry;20000;8
Tutkum;Ahmadi Asl;10008;4;The Faculty of Arts and Sciences;Chemistry;20000;9
Mugenur;Ahmet;10009;2;The Faculty of Arts and Sciences;Chemistry;20000;10
Sevinc;Ak;10010;2;The Faculty of Arts and Sciences;Mathematics;20001;1
Kayihan Nedim;Akarcali;10011;1;The Faculty of Arts and Sciences;Mathematics;20001;2
Lemi;Akarcay;10012;4;The Faculty of Arts and Sciences;Mathematics;20001;3
Cihan;Akarpinar;10013;4;The Faculty of Arts and Sciences;Mathematics;20001;4
Rafi;Akas;10014;1;The Faculty of Arts and Sciences;Mathematics;20001;5
Mehmetcan;Akay;10015;4;The Faculty of Arts and Sciences;Mathematics;20001;6
Nuhaydar;Akbilmez;10016;1;The Faculty of Arts and Sciences;Mathematics;20001;7
Emine Munevver;Akca;10017;2;The Faculty of Arts and Sciences;Mathematics;20001;8
Servet;Akcagunay;10018;1;The Faculty of Arts and Sciences;Mathematics;20001;9
cilem;Akcay;10019;4;The Faculty of Arts and Sciences;Mathematics;20001;10
Recep Ali Samet;Akdogan;10020;2;The Faculty of Arts and Sciences;Philosophy;20004;1
Emre Ayberk;Akfirat;10021;1;The Faculty of Arts and Sciences;Philosophy;20004;2
Kerime Hacer;Akilli;10022;1;The Faculty of Arts and Sciences;Philosophy;20004;3
Ercument;Akincilar;10023;3;The Faculty of Arts and Sciences;Philosophy;20004;4
Sarper;Akis;10024;1;The Faculty of Arts and Sciences;Philosophy;20004;5
Berker;Akkiray;10025;1;The Faculty of Arts and Sciences;Philosophy;20004;6
Iclal;Akkoyun;10026;3;The Faculty of Arts and Sciences;Philosophy;20004;7
Lemis;Akkut;10027;3;The Faculty of Arts and Sciences;Philosophy;20004;8
Ahmet Polat;Aklar corekci;10028;2;The Faculty of Arts and Sciences;Philosophy;20004;9
Ata Kerem;Akman;10029;2;The Faculty of Arts and Sciences;Philosophy;20004;10
Ahmet Rasit;Akoguz;10030;1;The Faculty of Arts and Sciences;Physics;20003;1
Ecem Hatice;Akova;10031;3;The Faculty of Arts and Sciences;Physics;20003;2
Nuket;Aksan;10032;1;The Faculty of Arts and Sciences;Physics;20003;3
Senem;Aksevim;10033;2;The Faculty of Arts and Sciences;Physics;20003;4
Aysen;Aksoy;10034;4;The Faculty of Arts and Sciences;Physics;20003;5
Pekcan;Aksoz;10035;3;The Faculty of Arts and Sciences;Physics;20003;6
Bedirhan Lutfu;Aksamoglu;10036;2;The Faculty of Arts and Sciences;Physics;20003;7
Semina;Aktuna;10037;3;The Faculty of Arts and Sciences;Physics;20003;8
Eda Sena;Akyildiz;10038;1;The Faculty of Arts and Sciences;Physics;20003;9
Muyesser;Akyildirim;10039;4;The Faculty of Arts and Sciences;Physics;20003;10
Selinti;Al;10040;4;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;1
Bahar ozlem;Albas;10041;2;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;2
Ilma;Aldag;10042;3;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;3
Kutlu;Alibeyoglu;10043;3;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;4
Nesibe Nurefsan;Alkan;10044;4;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;5
omer Bugra;Alparslan;10045;4;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;6
Hiba;Alpugan;10046;3;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;7
Mazlum;Altan;10047;4;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;8
Elif Tugce;Altas;10048;2;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;9
Ahmet Ruken;Altay;10049;1;The Faculty of Arts and Sciences;Turkish Language and Literature;20002;10
Yasar Utku Anil;Altin;10050;2;The Faculty of Economics and Administrative Sciences;Economics;20005;1
Rana;Altinoklu;10051;1;The Faculty of Economics and Administrative Sciences;Economics;20005;2
Fethullah;Altinoz;10052;1;The Faculty of Economics and Administrative Sciences;Economics;20005;3
Burak Tatkan;Altintas;10053;1;The Faculty of Economics and Administrative Sciences;Economics;20005;4
Merve Ece;Altiok;10054;3;The Faculty of Economics and Administrative Sciences;Economics;20005;5
Rima;Altiparmak;10055;4;The Faculty of Economics and Administrative Sciences;Economics;20005;6
Elif Dilay;Altinkaya;10056;3;The Faculty of Economics and Administrative Sciences;Economics;20005;7
Sirma Begum;Altunbas;10057;4;The Faculty of Economics and Administrative Sciences;Economics;20005;8
Nefse;Altunbulak;10058;4;The Faculty of Economics and Administrative Sciences;Economics;20005;9
Busra Gul;Altundal;10059;2;The Faculty of Economics and Administrative Sciences;Economics;20005;10
Erna;Aluc;10060;2;The Faculty of Economics and Administrative Sciences;Management;20006;1
Hikmet Nazli;Alver;10061;2;The Faculty of Economics and Administrative Sciences;Management;20006;2
Ismail Umut;Anik;10062;3;The Faculty of Economics and Administrative Sciences;Management;20006;3
Ilkay Ramazan;Ankara;10063;1;The Faculty of Economics and Administrative Sciences;Management;20006;4
Nebahat;Ansen;10064;1;The Faculty of Economics and Administrative Sciences;Management;20006;5
Ilyas Umut;Apul;10065;1;The Faculty of Economics and Administrative Sciences;Management;20006;6
Halim;Aral;10066;1;The Faculty of Economics and Administrative Sciences;Management;20006;7
Yasin sukru;Arap;10067;1;The Faculty of Economics and Administrative Sciences;Management;20006;8
Cansev;Arat;10068;4;The Faculty of Economics and Administrative Sciences;Management;20006;9
Memet Ali;Ardic;10069;3;The Faculty of Economics and Administrative Sciences;Management;20006;10
Deniz Dilay;Arican;10070;3;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;1
Izlem;Arinc;10071;3;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;2
oget;Arif;10072;2;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;3
seyda Nur;Arikan;10073;2;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;4
Zeki Yigithan;Armutcu;10074;2;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;5
Nunazli;Arpaci;10075;2;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;6
Ferdacan;Aruca;10076;3;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;7
serife;Asil;10077;2;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;8
Mustafa Burhan;Askin;10078;4;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;9
Eylem;Gunduz;10079;2;The Faculty of Economics and Administrative Sciences;Political Science and International Relations;20007;10
Ilim;Aslanturk;10080;1;The Faculty of Education;Computer Education and Educational Technology;20008;1
Sevginur;Asci;10081;3;The Faculty of Education;Computer Education and Educational Technology;20008;2
Hayrunnisa;Asveren;10082;3;The Faculty of Education;Computer Education and Educational Technology;20008;3
Hanife Duygu;Ata;10083;2;The Faculty of Education;Computer Education and Educational Technology;20008;4
Sevtap;Atan;10084;2;The Faculty of Education;Computer Education and Educational Technology;20008;5
Paksoy;Ates;10085;4;The Faculty of Education;Computer Education and Educational Technology;20008;6
Ilkim;Atescan;10086;1;The Faculty of Education;Computer Education and Educational Technology;20008;7
Rubabe Gokcen;Atli;10087;3;The Faculty of Education;Computer Education and Educational Technology;20008;8
Saba;Atmaca;10088;4;The Faculty of Education;Computer Education and Educational Technology;20008;9
cisem;Atok;10089;4;The Faculty of Education;Computer Education and Educational Technology;20008;10
Sabiha Elvan;Atol;10090;1;The Faculty of Education;Educational Sciences;20009;1
Edip;Attila;10091;4;The Faculty of Education;Educational Sciences;20009;2
Almina;Avci ozsoy;10092;4;The Faculty of Education;Educational Sciences;20009;3
Saime;Aviandi;10093;1;The Faculty of Education;Educational Sciences;20009;4
Nehar;Avsar;10094;1;The Faculty of Education;Educational Sciences;20009;5
Kaan Muharrem;Ay;10095;3;The Faculty of Education;Educational Sciences;20009;6
Murat Kaan;Ayanoglu;10096;4;The Faculty of Education;Educational Sciences;20009;7
Murat Sinan;Ayaz;10097;4;The Faculty of Education;Educational Sciences;20009;8
Ates;Ayci;10098;3;The Faculty of Education;Educational Sciences;20009;9
Zeynep Nihan;Aydinlioglu;10099;2;The Faculty of Education;Educational Sciences;20009;10
Kerime;Aydogan Yozgat;10100;3;The Faculty of Education;Foreign Language Education;20012;1
Hami;Aydogdu;10101;1;The Faculty of Education;Foreign Language Education;20012;2
Thomas;Aygen;10102;3;The Faculty of Education;Foreign Language Education;20012;3
Gunes;Aykan;10103;3;The Faculty of Education;Foreign Language Education;20012;4
Elif Feyza;Ayrim;10104;1;The Faculty of Education;Foreign Language Education;20012;5
Ugur Ali;Aysal;10105;3;The Faculty of Education;Foreign Language Education;20012;6
Osman Yasin;Aysan;10106;2;The Faculty of Education;Foreign Language Education;20012;7
Adem;Ayvacik;10107;2;The Faculty of Education;Foreign Language Education;20012;8
Sera Cansin;Azbay;10108;2;The Faculty of Education;Foreign Language Education;20012;9
Ali Ismail;Babacan;10109;4;The Faculty of Education;Foreign Language Education;20012;10
Ruhugul;Babadostu;10110;2;The Faculty of Education;Mathematics and Science Education;20011;1
Alcicek;Bad;10111;1;The Faculty of Education;Mathematics and Science Education;20011;2
Memet;Bagci;10112;4;The Faculty of Education;Mathematics and Science Education;20011;3
Mercan;Bagcivan;10113;3;The Faculty of Education;Mathematics and Science Education;20011;4
Gokay;Bagis;10114;1;The Faculty of Education;Mathematics and Science Education;20011;5
Pirilti;Bahceli;10115;3;The Faculty of Education;Mathematics and Science Education;20011;6
ozgun;Bahtiyar;10116;1;The Faculty of Education;Mathematics and Science Education;20011;7
ozgen;Baka;10117;1;The Faculty of Education;Mathematics and Science Education;20011;8
Seung Hun;Baki;10118;3;The Faculty of Education;Mathematics and Science Education;20011;9
Gulser;Bal;10119;3;The Faculty of Education;Mathematics and Science Education;20011;10
Yuksel;Balci;10120;1;The Faculty of Education;Primary Education;20010;1
Ecren;Baldo;10121;3;The Faculty of Education;Primary Education;20010;2
Muhammet Rasit;Bali;10122;4;The Faculty of Education;Primary Education;20010;3
Sakip;Balioglu;10123;2;The Faculty of Education;Primary Education;20010;4
Kazim;Balta;10124;1;The Faculty of Education;Primary Education;20010;5
Abdullah Atakan;Baluken;10125;4;The Faculty of Education;Primary Education;20010;6
Coskun;Baran;10126;3;The Faculty of Education;Primary Education;20010;7
Serdar Kaan;Barbaros;10127;4;The Faculty of Education;Primary Education;20010;8
Ezel;Bargan;10128;3;The Faculty of Education;Primary Education;20010;9
Aysegul;Barutcuoglu;10129;4;The Faculty of Education;Primary Education;20010;10
Sefa Kadir;Basar;10130;3;The Faculty of Engineering;Chemical Engineering;20013;1
Elif Etga;Basegmez;10131;2;The Faculty of Engineering;Chemical Engineering;20013;2
Balin;Bastepe;10132;1;The Faculty of Engineering;Chemical Engineering;20013;3
Mahperi;Bastopcu;10133;3;The Faculty of Engineering;Chemical Engineering;20013;4
Erol ozgur;Bastug;10134;1;The Faculty of Engineering;Chemical Engineering;20013;5
Atak;Batar;10135;1;The Faculty of Engineering;Chemical Engineering;20013;6
